date,level,appr,R,tod,win50_20,win100_30,lv,conf,pen,press30,flow30,dvel15,flow3,res3,big3,vol3_rel,dtouch,fav60,fav90,thr60,held50,held100,broke20
2025-03-17,PDH,below,-1,2,0,0,19742.5,0,7.5,-10.75,81,437,-399,-44.75,88,5.121447610466644,-417,51.5,78.25,105.25,1,0,1
2025-03-17,PMH,below,-1,6,0,0,19778.5,1,27.0,-78.25,-279,75,-581,-50.75,-66,2.280583338446749,-468,102.5,124.25,69.25,1,1,1
2025-03-18,ASIAL,above,1,14,0,0,19725.75,1,17.25,-200.0,-1204,-683,-387,-72.5,-63,1.4236183550402843,-386,25.0,25.0,91.25,0,0,1
2025-03-18,ONL,above,1,14,0,0,19725.75,1,17.25,-200.0,-1204,-683,-387,-72.5,-63,1.4236183550402843,-386,25.0,25.0,91.25,0,0,1
2025-03-18,PDC,above,1,5,0,0,19832.0,0,26.25,-88.75,-307,-241,-239,-59.5,-50,2.381412625315064,-89,-17.25,-17.25,197.5,0,0,1
2025-03-18,PDEQ,above,1,6,0,0,19794.0,0,7.0,-97.5,-403,-272,-475,-73.5,-73,2.4671463801898583,-131,14.25,14.25,159.5,0,0,1
2025-03-18,PDL,above,1,91,0,1,19628.75,0,17.25,-68.75,-332,-218,-351,-54.5,-94,1.7498945455725365,-234,73.0,123.5,24.5,1,1,1
2025-03-19,ASIAL,above,1,14,1,1,19706.25,1,0.0,-35.25,72,-422,146,-21.25,20,1.2117404809269534,141,194.5,194.5,0.0,1,1,0
2025-03-19,PDC,above,1,14,1,1,19707.0,1,0.75,-35.25,72,-422,146,-21.25,20,1.2117404809269534,141,193.75,193.75,0.0,1,1,0
2025-03-19,PDEQ,above,1,7,0,0,19752.25,0,4.5,-7.75,-135,-204,61,-13.0,-11,1.553042203372081,31,148.5,148.5,46.0,1,1,1
2025-03-19,PDH,below,-1,39,1,1,19900.25,0,0.5,-130.75,-1337,-281,-208,-15.0,-34,1.047855446125924,-279,112.25,112.25,0.0,1,1,0
2025-03-20,ASIAH,below,-1,73,1,1,20092.75,1,6.25,-91.75,-399,-44,-250,-23.5,-7,0.9204187511580507,-127,127.75,150.5,12.25,1,1,0
2025-03-20,ASIAL,below,-1,33,0,0,20011.5,0,0.5,-141.0,-874,-449,16,-26.75,-20,1.4780315469970642,61,36.25,36.25,93.5,0,0,1
2025-03-20,LDNH,below,-1,56,1,1,20075.75,1,6.75,-183.5,-985,-244,-92,-18.25,19,1.1416363454284477,-145,66.75,110.75,29.25,1,1,1
2025-03-20,ONH,below,-1,73,1,1,20092.75,1,6.25,-91.75,-399,-44,-250,-23.5,-7,0.9204187511580507,-127,127.75,150.5,12.25,1,1,0
2025-03-20,PDC,below,-1,30,0,0,19953.25,0,26.5,-203.25,-1511,228,-679,-72.25,-53,1.5939792449454282,-419,-11.25,-11.25,151.75,0,0,1
